               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11832,            0.033321,            0.078844,          7.5685e-05,           0.0042445,          5.1697e-05,          1.3436e-05,             0.10366,            0.029316,            0.075075,              0.0865,              0.0015,              0.0015
                   1,             0.10277,            0.034235,            0.072639,          0.00023685,            0.039049,           0.0012361,          0.00028245,            0.089263,            0.029446,            0.067232,            0.072039,           0.0030386,           0.0030386
                   2,            0.092935,             0.03222,            0.066156,             0.10871,            0.069537,            0.012736,            0.003474,            0.085974,            0.025433,            0.061189,            0.057514,           0.0045139,           0.0045139
                   3,            0.088175,            0.029609,            0.064366,             0.94255,             0.02759,            0.035893,            0.015003,            0.091622,            0.021597,             0.05931,            0.042926,           0.0059258,           0.0059258
                   4,            0.082498,            0.028268,            0.061662,             0.96552,            0.037715,            0.039821,            0.016988,             0.07422,             0.02109,            0.058996,            0.028274,           0.0072743,           0.0072743
                   5,            0.084144,            0.027558,            0.062261,             0.85589,            0.048145,            0.024376,           0.0075187,            0.080478,            0.018297,            0.059407,             0.01356,           0.0085595,           0.0085595
                   6,            0.079253,            0.024796,            0.060872,             0.96494,            0.036503,            0.034433,            0.011643,            0.065167,            0.018714,            0.059195,            0.008812,            0.008812,            0.008812
                   7,            0.072855,            0.026203,            0.059588,             0.96151,            0.037431,            0.030812,            0.010453,             0.07167,            0.017976,            0.059241,            0.008812,            0.008812,            0.008812
                   8,            0.066074,            0.022799,            0.060054,             0.97914,            0.043294,            0.081371,            0.027789,            0.060044,            0.016673,            0.058356,            0.008614,            0.008614,            0.008614
                   9,            0.063415,             0.02205,            0.060089,             0.60007,             0.12765,            0.084601,            0.031587,            0.055437,            0.016983,             0.05756,            0.008416,            0.008416,            0.008416
                  10,            0.057134,            0.021362,            0.060108,             0.54417,             0.13141,             0.08152,            0.026366,            0.061698,            0.015996,            0.057104,            0.008218,            0.008218,            0.008218
                  11,            0.056452,            0.019436,            0.058966,             0.40426,             0.18238,            0.079448,            0.031334,            0.056276,            0.014002,            0.056493,             0.00802,             0.00802,             0.00802
                  12,            0.055304,            0.017181,            0.058221,             0.29946,             0.19913,            0.089159,            0.035822,            0.051451,             0.01288,            0.056149,            0.007822,            0.007822,            0.007822
                  13,            0.052828,            0.018131,            0.058438,             0.20897,             0.25268,             0.10882,            0.044961,            0.048904,            0.012305,            0.055892,            0.007624,            0.007624,            0.007624
                  14,            0.051027,            0.016681,            0.058162,             0.22883,             0.26396,             0.13264,            0.069097,            0.041499,            0.011572,            0.055707,            0.007426,            0.007426,            0.007426
                  15,            0.046513,            0.015206,            0.058023,             0.26903,              0.2589,               0.129,             0.05921,             0.04456,            0.011078,              0.0556,            0.007228,            0.007228,            0.007228
                  16,             0.04627,            0.015472,            0.058024,             0.26923,             0.23738,             0.12659,            0.057853,            0.046094,            0.010731,            0.055526,             0.00703,             0.00703,             0.00703
                  17,            0.045636,            0.013769,            0.055025,             0.32896,              0.1903,             0.14806,            0.061845,            0.043293,            0.010235,            0.055172,            0.006832,            0.006832,            0.006832
                  18,            0.044763,            0.014366,            0.056381,             0.29088,             0.20583,             0.13437,             0.06606,            0.040108,           0.0098512,            0.054959,            0.006634,            0.006634,            0.006634
                  19,            0.042875,            0.014297,            0.056729,             0.33183,             0.20654,             0.14869,            0.077919,            0.043165,           0.0097106,            0.054842,            0.006436,            0.006436,            0.006436
                  20,            0.042957,            0.014366,            0.055356,             0.32904,             0.21948,             0.13603,            0.071259,            0.039656,           0.0095971,             0.05484,            0.006238,            0.006238,            0.006238
                  21,             0.04137,             0.01391,            0.055455,             0.51404,             0.18675,             0.15556,            0.075365,              0.0377,            0.009585,            0.054733,             0.00604,             0.00604,             0.00604
                  22,            0.039917,            0.012913,            0.056055,             0.42121,             0.20584,              0.1682,            0.082107,            0.037478,           0.0094096,             0.05466,            0.005842,            0.005842,            0.005842
                  23,            0.039475,             0.01383,            0.055774,             0.40108,             0.23289,             0.17718,            0.089124,            0.039212,           0.0094416,            0.054514,            0.005644,            0.005644,            0.005644
                  24,            0.038116,            0.011852,            0.057022,             0.34278,             0.27674,              0.1763,            0.085617,            0.038061,           0.0092926,            0.054771,            0.005446,            0.005446,            0.005446
                  25,            0.039565,            0.013876,            0.055996,              0.3192,             0.33534,              0.1822,             0.09184,            0.035825,           0.0091613,            0.054547,            0.005248,            0.005248,            0.005248
                  26,            0.038073,            0.012213,            0.054351,             0.32922,             0.32867,             0.19798,             0.10306,            0.036756,           0.0090348,             0.05431,             0.00505,             0.00505,             0.00505
                  27,            0.036851,            0.012455,            0.054578,             0.30584,             0.33578,             0.18619,             0.10166,            0.036893,           0.0089968,            0.054363,            0.004852,            0.004852,            0.004852
                  28,            0.036156,            0.012493,            0.054116,             0.32373,             0.33698,             0.20048,              0.1084,            0.036108,           0.0089786,            0.054097,            0.004654,            0.004654,            0.004654
                  29,             0.03658,            0.012173,            0.054629,             0.24788,             0.39349,             0.19224,             0.11561,            0.035337,           0.0088334,            0.053991,            0.004456,            0.004456,            0.004456
                  30,            0.034694,            0.011739,            0.055555,             0.31702,             0.33678,             0.21129,             0.11454,            0.034919,           0.0088441,            0.054133,            0.004258,            0.004258,            0.004258
                  31,            0.034141,            0.012092,            0.054007,             0.32114,             0.32349,             0.21421,             0.11965,            0.035437,            0.008748,            0.053685,             0.00406,             0.00406,             0.00406
                  32,            0.033169,            0.011886,            0.054547,             0.30705,             0.38398,             0.21986,             0.12453,            0.035261,           0.0086335,            0.053623,            0.003862,            0.003862,            0.003862
                  33,            0.033144,            0.012475,            0.055456,             0.30298,             0.38397,             0.22446,             0.12798,            0.034976,           0.0086391,            0.053663,            0.003664,            0.003664,            0.003664
                  34,             0.03215,             0.01168,            0.054242,             0.30795,             0.37853,             0.22378,             0.13303,            0.033834,           0.0085746,            0.053455,            0.003466,            0.003466,            0.003466
                  35,            0.032123,             0.01213,            0.053358,             0.31222,             0.38544,              0.2291,             0.13233,            0.033337,           0.0086194,            0.053503,            0.003268,            0.003268,            0.003268
                  36,            0.031175,            0.010955,            0.054233,              0.3057,              0.3984,             0.22844,             0.13017,            0.033697,           0.0086635,            0.053418,             0.00307,             0.00307,             0.00307
                  37,            0.031401,            0.012305,            0.055086,             0.31344,             0.40797,             0.23025,             0.13017,            0.033412,            0.008688,             0.05348,            0.002872,            0.002872,            0.002872
                  38,             0.03053,            0.011024,            0.052215,             0.31044,             0.41279,             0.23082,             0.12878,            0.034211,            0.008569,            0.053353,            0.002674,            0.002674,            0.002674
                  39,            0.029213,            0.011653,             0.05322,             0.30089,             0.42546,             0.23566,             0.13776,            0.033949,           0.0085446,            0.053419,            0.002476,            0.002476,            0.002476
                  40,            0.029271,            0.012008,            0.052604,             0.31213,              0.3823,             0.24273,              0.1389,            0.033756,            0.008533,            0.053413,            0.002278,            0.002278,            0.002278
                  41,            0.028181,            0.010522,            0.053352,             0.32362,             0.33362,             0.23455,             0.13796,             0.03294,           0.0084677,            0.053523,             0.00208,             0.00208,             0.00208
                  42,            0.028812,            0.010907,            0.053156,             0.32772,             0.31144,             0.23117,              0.1356,            0.033269,           0.0084427,            0.053487,            0.001882,            0.001882,            0.001882
                  43,            0.028313,            0.010536,            0.053521,             0.34089,             0.31894,             0.23832,             0.13752,            0.032561,           0.0083934,            0.053464,            0.001684,            0.001684,            0.001684
                  44,            0.028838,            0.011445,            0.051275,             0.33345,             0.32065,             0.24732,             0.14736,            0.032528,            0.008386,            0.053372,            0.001486,            0.001486,            0.001486
                  45,            0.027554,            0.010486,            0.050224,             0.29557,             0.33117,             0.25475,             0.15391,            0.032618,           0.0084091,            0.053371,            0.001288,            0.001288,            0.001288
                  46,            0.027435,            0.010339,            0.051436,             0.23535,             0.34652,              0.2612,             0.15327,            0.032644,           0.0084091,            0.053583,             0.00109,             0.00109,             0.00109
                  47,            0.027834,            0.011882,            0.050176,             0.29894,             0.34512,             0.26417,             0.15495,            0.032394,           0.0084005,             0.05346,            0.000892,            0.000892,            0.000892
                  48,            0.027124,            0.010689,            0.050828,             0.29534,             0.34099,             0.26417,             0.15381,            0.032613,           0.0083917,            0.053505,            0.000694,            0.000694,            0.000694
                  49,             0.02692,            0.011262,            0.051989,             0.30816,             0.33775,             0.26986,             0.15566,            0.032664,           0.0083783,            0.053532,            0.000496,            0.000496,            0.000496
